Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,7988625,0,0,0,0,19489945336,17400163200,2089782136
1,0,119023,0,0,0,0,22835068,0,22835068
2,0,58921,0,0,0,0,11300836,0,11300836
3,0,67439,0,0,0,0,14478018,0,14478018
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,7467727,0,0,0,0,5866173052,4350040800,1516132252
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,32,0,0,0,0,7104,0,7104
8,58509,0,0,0,0,0,88582626,85423140,3159486
9,0,3934,0,0,0,0,527156,0,527156
10,0,1676,0,0,0,0,363848,0,363848
11,102339,0,0,0,0,0,154941246,149414940,5526306
12,0,5418,0,0,0,0,726012,0,726012
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,2059,0,0,0,0,415978,0,415978
17,202342,0,0,0,0,0,306345788,295419320,10926468
18,0,3354,0,0,0,0,449436,0,449436
19,0,1546,0,0,0,0,326764,0,326764
20,53427,0,0,0,0,0,80888478,78003420,2885058
21,0,4386,0,0,0,0,587724,0,587724
22,0,2578,0,0,0,0,555868,0,555868
23,97270,0,0,0,0,0,147266780,142014200,5252580
24,0,7748,0,0,0,0,1038232,0,1038232
25,0,2189,0,0,0,0,453062,0,453062
26,96917,0,0,0,0,0,146732338,141498820,5233518
27,0,5160,0,0,0,0,691440,0,691440
28,0,1677,0,0,0,0,372294,0,372294
29,10632,0,0,0,0,0,16096848,15522720,574128
30,0,6708,0,0,0,0,898872,0,898872
31,0,2577,0,0,0,0,547422,0,547422
32,58920,0,0,0,0,0,89204880,86023200,3181680
33,0,7486,0,0,0,0,1003124,0,1003124
34,0,3089,0,0,0,0,628190,0,628190
35,308097,0,0,0,0,0,466458858,449821620,16637238
36,0,5418,0,0,0,0,726012,0,726012
37,0,2320,0,0,0,0,498592,0,498592
38,116804,0,0,0,0,0,176841256,170533840,6307416
39,0,7224,0,0,0,0,968016,0,968016
40,0,1806,0,0,0,0,400932,0,400932
41,13163,0,0,0,0,0,19928782,19217980,710802
42,0,7224,0,0,0,0,968016,0,968016
43,0,1417,0,0,0,0,298126,0,298126
44,55007,0,0,0,0,0,83280598,80310220,2970378
45,0,3612,0,0,0,0,484008,0,484008
46,0,2192,0,0,0,0,478400,0,478400
47,18781,0,0,0,0,0,28434434,27420260,1014174
48,0,7740,0,0,0,0,1037160,0,1037160
49,0,772,0,0,0,0,154936,0,154936
50,51304,0,0,0,0,0,77674256,74903840,2770416
51,0,1290,0,0,0,0,172860,0,172860
52,0,902,0,0,0,0,192020,0,192020
53,96308,0,0,0,0,0,145810312,140609680,5200632
54,0,2322,0,0,0,0,311148,0,311148
55,0,3350,0,0,0,0,710804,0,710804
56,190429,0,0,0,0,0,288309506,278026340,10283166
57,0,9288,0,0,0,0,1244592,0,1244592
58,0,3221,0,0,0,0,682166,0,682166
59,202614,0,0,0,0,0,306757596,295816440,10941156
60,0,8264,0,0,0,0,1107376,0,1107376
61,0,1160,0,0,0,0,249296,0,249296
62,53766,0,0,0,0,0,81401724,78498360,2903364
63,0,3612,0,0,0,0,484008,0,484008
64,0,1933,0,0,0,0,412678,0,412678
65,37927,0,0,0,0,0,57421478,55373420,2048058
66,0,5934,0,0,0,0,795156,0,795156
67,0,3482,0,0,0,0,764780,0,764780
68,63334,0,0,0,0,0,95887676,92467640,3420036
69,0,12900,0,0,0,0,1728600,0,1728600
70,0,2448,0,0,0,0,518784,0,518784
71,134232,0,0,0,0,0,203227248,195978720,7248528
72,0,6708,0,0,0,0,898872,0,898872
73,0,1032,0,0,0,0,229104,0,229104
74,43350,0,0,0,0,0,65631900,63291000,2340900
75,0,3870,0,0,0,0,518580,0,518580
76,0,774,0,0,0,0,171828,0,171828
77,2737,0,0,0,0,0,4143818,3996020,147798
78,0,3096,0,0,0,0,414864,0,414864
79,0,1029,0,0,0,0,203766,0,203766
80,150617,0,0,0,0,0,228034138,219900820,8133318
81,0,1032,0,0,0,0,138288,0,138288
82,0,2321,0,0,0,0,507038,0,507038
