TTT,HandoverMargin,Th_57,Th_58,Th_59,Th_60,Th_61,Th_62,Th_63,Th_64,Th_65,Th_66,Th_67,Th_68,Th_69,Th_70,Th_71,Th_72,Th_73,Th_74,Th_75,Th_76,Th_77,Th_78,Th_79,Th_80,Th_81,Th_82,Th_83,Th_84,Th_85,Th_86,Th_87,Th_88,Th_89,Th_90,Th_91,Th_92,Th_93,Th_94,Th_95,Th_96,Th_97,Th_98,Th_99,Th_100,Th_101,Th_102,Th_103,Th_104,Th_105,Th_106,Th_107,Th_108,Th_109,Th_110,Th_111,Th_112,Th_113,Th_114,Th_115,Th_116,Sum_Throughput(Mbps),Handover_Count
128,0,3.698532,3.562400,0.619443,3.113324,3.043647,0.921512,0.248502,9.793479,0.840960,0.706439,2.535366,2.838643,3.480640,1.713738,2.194229,1.828524,2.566781,19.999382,0.361274,0.625484,1.488193,0.972662,2.854753,2.876502,1.033881,3.275233,2.405274,3.686047,6.402654,1.338770,5.335746,0.994411,1.203443,0.832099,1.046367,0.970246,1.689975,18.344447,9.606599,1.517192,2.646930,2.817699,0.581583,0.702008,0.717716,0.903388,1.462819,13.395752,5.383674,1.158737,6.733319,0.339526,4.115388,9.569142,3.052105,7.488894,1.089865,1.073754,1.120474,2.955040,199.874606,419,
128,1,3.872121,3.058549,1.205859,11.253479,4.440817,0.872778,1.086643,10.280414,2.320695,0.761214,2.611487,2.143481,4.102902,1.511150,2.642097,1.601368,4.786786,19.934538,0.925539,0.550168,1.186124,3.638924,2.549462,4.069876,0.846599,2.690025,2.181341,2.513214,4.605545,1.988017,3.841512,1.024618,1.025423,1.186527,0.847001,1.242913,1.027840,19.644149,9.442273,1.361727,2.667873,3.475001,0.455520,0.650455,0.672204,1.476916,1.397170,12.661926,5.822279,1.699239,2.096359,0.367719,4.005837,8.752348,3.073048,9.539741,1.714141,0.961788,1.056839,2.447564,211.86916200000007,458,
128,2,3.673561,3.278455,1.054019,11.987305,4.785175,1.880883,0.961385,9.785826,2.603432,0.479283,2.928458,4.160497,2.516033,1.718974,2.160800,2.118510,4.737650,19.999382,1.517192,0.502643,1.107183,0.972259,2.362985,2.685594,0.896541,2.793534,1.089462,1.866383,4.549159,2.029501,4.014295,0.631123,0.700800,1.626742,1.243316,0.985148,1.606201,19.778268,9.003266,1.416099,2.207923,2.987663,0.611790,0.579167,0.569501,3.263150,1.402003,12.905594,5.682119,0.956149,2.309821,0.229975,3.912800,8.385032,1.571564,7.533600,1.806372,0.844988,1.087046,2.625986,205.67956500000005,312,
128,3,3.876552,3.249457,1.709710,11.286102,4.982527,2.575641,1.108392,10.122130,2.417357,0.611790,2.519255,1.304535,3.857622,1.299299,3.800028,1.477721,6.313241,19.999382,1.041534,0.437799,0.877208,1.922770,2.419774,1.797512,0.874792,2.710968,1.155917,1.916326,4.746510,2.025070,3.900314,1.052811,2.431051,1.994863,0.772088,0.931983,1.072143,19.594610,9.835366,1.498665,2.377887,0.782560,0.625887,0.600110,0.734229,1.012132,1.536121,12.373550,5.238681,1.736695,1.990030,0.378593,3.638119,9.093887,2.423399,5.846444,2.401247,0.722549,1.279967,3.467349,205.78025099999988,302,
128,4,3.720684,3.241401,1.579619,11.325170,3.957909,1.186124,1.173236,10.026273,2.893418,0.622262,2.637666,2.508381,3.344508,1.735487,2.374262,1.283994,4.309114,19.999382,0.990786,0.760408,0.797059,3.501583,2.746411,2.630014,0.965815,3.548706,1.632783,4.357446,5.676883,1.644463,5.461407,1.023007,2.689219,1.336756,0.734632,0.908221,1.665810,19.544265,9.959818,1.533705,2.010974,2.865225,0.659316,0.465186,0.410008,1.063686,1.513970,12.641788,5.080800,0.756783,1.958615,0.263404,4.145192,8.678643,1.412072,7.935553,1.681517,0.811559,1.128932,4.105319,211.61662900000002,267,
128,5,3.733975,3.408949,1.254593,12.536265,2.006141,1.288022,0.815183,10.478168,2.168452,0.484116,2.778632,2.218394,4.476662,2.544629,2.060916,1.585258,6.282229,19.999382,1.385087,0.416050,1.155917,1.887327,2.122941,2.944568,0.587222,2.955443,1.466444,2.298946,4.706637,1.947338,4.222521,1.134571,1.169208,1.586869,0.910234,1.006091,1.907868,19.762560,9.929611,1.472083,3.050897,2.616723,0.596083,0.624679,0.637164,0.899360,1.242510,12.918483,3.746863,1.004077,1.776568,0.284348,4.067862,9.836977,2.137843,10.756474,3.766599,0.800684,1.043145,2.474146,211.37698699999996,237,
128,6,3.907161,3.151989,1.350450,12.814571,3.441572,1.438654,0.751950,10.476960,2.738759,0.581181,2.243366,2.511200,3.573274,1.794290,2.832199,1.705280,4.220910,19.957092,1.095503,0.556210,1.112822,1.756833,1.832954,4.435581,1.045159,2.917181,1.517997,2.102803,4.638571,2.069374,4.060612,0.753964,1.362532,2.101192,0.900971,0.983939,1.799526,19.580513,9.904237,1.511150,2.175299,3.164474,0.521572,0.811961,0.625484,1.813622,1.513164,12.823432,2.993705,1.159542,2.902681,0.333081,4.200772,10.069771,2.609473,13.625727,1.709710,1.163570,1.161153,3.351757,216.26043199999995,216,
256,0,3.027537,2.334792,1.211901,11.472177,3.367062,1.617076,1.722599,9.466036,2.091526,0.700800,2.005335,1.121683,3.191862,1.646880,1.837385,1.571161,5.995062,19.999382,1.799123,0.727785,1.834566,2.033931,2.026279,0.757186,1.141418,3.721892,1.335548,5.902830,6.461457,1.194985,4.955139,1.201429,1.478930,1.549412,0.801490,0.886069,1.060061,19.273611,8.607354,1.420932,2.442328,1.843023,0.594069,0.746312,0.617832,1.555454,1.719779,12.576138,2.806825,0.662135,6.271354,0.363288,3.009412,8.749126,2.487437,9.555046,2.182952,0.969843,1.025423,3.249054,207.978513,214,
256,1,3.688463,3.131448,1.248954,10.970742,3.013440,0.860695,0.973870,10.220806,3.106477,0.600916,2.477368,0.917887,3.319537,1.761666,1.504706,1.610632,5.206058,19.999382,1.409252,0.704022,1.291647,3.008607,2.996524,0.597291,0.773699,3.677186,1.590091,2.602626,5.921357,1.102753,5.164171,1.203846,2.849114,1.613854,0.725771,0.771283,1.665407,19.972800,9.826102,1.584855,2.195840,2.009363,0.555404,0.872375,0.646025,1.921561,1.481749,13.154097,3.584552,0.789407,3.704977,0.190102,4.084778,8.218290,2.710163,7.478422,1.705683,0.837738,0.950913,2.817297,205.57404100000002,157,
256,2,3.772640,3.429490,1.060463,11.850367,4.426317,1.051603,1.266676,10.759697,2.470119,0.648441,2.911542,1.973920,4.239034,1.025826,2.088706,2.228463,18.977986,19.999382,1.245330,0.483713,1.117655,1.259023,2.426218,0.750742,0.945677,3.567233,1.424960,6.027283,5.939079,1.316618,5.316817,0.794643,1.942505,1.151487,0.813975,0.961385,1.546190,17.793070,10.148712,1.607410,2.641291,2.373859,0.523183,0.747117,0.607763,1.272314,1.404419,13.674058,4.628099,0.762825,1.155917,0.318582,3.963145,10.969131,2.383123,11.329197,1.129738,1.037103,0.876403,1.898201,226.45586499999996,153,
