TTT,HandoverMargin,Sum_Throughput(Mbps),Handover_Count
128,0,199.874606,419,
128,1,211.86916200000007,458,
128,2,205.67956500000005,312,
128,3,205.78025099999988,302,
128,4,211.61662900000002,267,
128,5,211.37698699999996,237,
128,6,216.26043199999995,216,
256,0,207.978513,214,
256,1,205.57404100000002,157,
256,2,226.45586499999996,153,
256,3,215.418665,125,
256,4,218.73417900000004,123,
256,5,204.97392900000003,101,
256,6,218.82762300000002,82,
512,0,216.24391999999997,78,
512,1,202.71203899999998,58,
512,2,221.191007,47,
512,3,219.6754230000001,44,
512,4,207.999858,31,
512,5,214.05775,25,
512,6,204.29206200000002,25,
1024,0,221.85716800000006,25,
1024,1,226.5219170000001,24,
1024,2,214.154819,17,
1024,3,211.75316399999994,14,
1024,4,213.806834,14,
1024,5,218.306453,10,
1024,6,216.35548799999998,8,
