TTT,HandoverMargin,Th_57,Th_58,Th_59,Th_60,Th_61,Th_62,Th_63,Th_64,Th_65,Th_66,Th_67,Th_68,Th_69,Th_70,Th_71,Th_72,Th_73,Th_74,Th_75,Th_76,Th_77,Th_78,Th_79,Th_80,Th_81,Th_82,Th_83,Th_84,Th_85,Th_86,Th_87,Th_88,Th_89,Th_90,Th_91,Th_92,Th_93,Th_94,Th_95,Th_96,Th_97,Th_98,Th_99,Th_100,Th_101,Th_102,Th_103,Th_104,Th_105,Th_106,Th_107,Th_108,Th_109,Th_110,Th_111,Th_112,Th_113,Th_114,Th_115,Th_116,Sum_Throughput(Mbps),Handover_Count
128,0,3.698532,3.562400,0.619443,3.113324,3.043647,0.921512,0.248502,9.793479,0.840960,0.706439,2.535366,2.838643,3.480640,1.713738,2.194229,1.828524,2.566781,19.999382,0.361274,0.625484,1.488193,0.972662,2.854753,2.876502,1.033881,3.275233,2.405274,3.686047,6.402654,1.338770,5.335746,0.994411,1.203443,0.832099,1.046367,0.970246,1.689975,18.344447,9.606599,1.517192,2.646930,2.817699,0.581583,0.702008,0.717716,0.903388,1.462819,13.395752,5.383674,1.158737,6.733319,0.339526,4.115388,9.569142,3.052105,7.488894,1.089865,1.073754,1.120474,2.955040,199.874606,419,
128,1,3.820568,3.516888,1.026229,11.686041,4.436789,0.764839,0.909429,10.128171,2.333181,0.757589,2.270753,1.761666,4.389263,1.770124,2.511200,1.784221,5.394549,19.985286,0.993203,0.517948,0.991994,3.038008,2.390372,4.187079,0.846599,2.709760,1.949754,2.396414,4.916474,1.901021,3.756127,1.180083,0.983134,1.367366,0.945677,1.093892,1.190152,19.856000,9.494229,1.641644,1.421335,3.882996,0.563862,0.680662,0.602930,1.809594,1.380254,11.835062,4.728386,1.772138,2.229672,0.329859,4.002615,8.968629,3.480237,13.387294,1.797512,1.077379,1.191763,3.152794,215.88868900000003,446,
128,2,3.673561,3.278455,1.054019,11.987305,4.785175,1.880883,0.961385,9.785826,2.603432,0.479283,2.928458,4.160497,2.516033,1.718974,2.160800,2.118510,4.737650,19.999382,1.517192,0.502643,1.107183,0.972259,2.362985,2.685594,0.896541,2.793534,1.089462,1.866383,4.549159,2.029501,4.014295,0.631123,0.700800,1.626742,1.243316,0.985148,1.606201,19.778268,9.003266,1.416099,2.207923,2.987663,0.611790,0.579167,0.569501,3.263150,1.402003,12.905594,5.682119,0.956149,2.309821,0.229975,3.912800,8.385032,1.571564,7.533600,1.806372,0.844988,1.087046,2.625986,205.67956500000005,312,
128,3,3.802847,3.307857,2.080248,10.908717,4.365098,2.343250,1.291647,9.347222,2.732314,0.662941,2.474146,1.546593,3.656646,1.089059,3.499570,1.500679,6.295117,19.999382,1.117655,0.651663,0.950510,2.317070,2.223630,1.924783,0.941247,2.753258,1.110003,1.788248,4.754968,2.131399,4.035641,0.906610,2.272364,1.843023,0.892110,0.852237,1.298494,19.945815,9.515172,1.540149,2.837032,0.826461,0.625081,0.624679,0.609374,0.977898,1.286008,12.455713,5.295068,1.826510,1.652519,0.298847,3.951868,8.376574,2.163619,6.723652,2.308612,0.670593,1.200623,3.367868,204.74798100000004,299,
128,4,3.720684,3.241401,1.579619,11.325170,3.957909,1.186124,1.173236,10.026273,2.893418,0.622262,2.637666,2.508381,3.344508,1.735487,2.374262,1.283994,4.309114,19.999382,0.990786,0.760408,0.797059,3.501583,2.746411,2.630014,0.965815,3.548706,1.632783,4.357446,5.676883,1.644463,5.461407,1.023007,2.689219,1.336756,0.734632,0.908221,1.665810,19.544265,9.959818,1.533705,2.010974,2.865225,0.659316,0.465186,0.410008,1.063686,1.513970,12.641788,5.080800,0.756783,1.958615,0.263404,4.145192,8.678643,1.412072,7.935553,1.681517,0.811559,1.128932,4.105319,211.61662900000002,267,
128,5,3.671950,3.265970,1.256607,12.239029,1.937672,1.305341,0.818406,10.205098,2.207117,0.501434,2.932888,2.178924,4.149622,2.461661,2.189799,1.550218,6.136430,19.999382,1.290036,0.419272,1.145043,2.005738,2.269142,3.048883,0.732215,2.962290,1.396767,2.290086,4.748524,2.012585,4.259575,1.108392,1.103961,1.639630,0.911040,0.927150,1.841412,19.715034,9.784618,1.473694,3.127421,2.579669,0.570306,0.590444,0.604138,0.836530,1.194985,13.608811,3.709004,1.029854,1.801942,0.322207,3.949451,9.146648,2.012585,10.514819,3.929313,0.917081,1.037506,2.558726,210.13407499999997,247,
128,6,3.679603,3.485876,1.657754,5.279763,1.392337,1.211095,1.047172,10.284039,1.453556,0.649247,2.618737,2.519255,4.279310,1.645672,2.420579,1.847051,3.910383,19.972800,1.261440,0.548960,1.271106,1.612646,1.985600,3.046063,0.762422,3.508833,1.238886,2.282030,5.467448,1.569953,5.209683,1.074963,1.385087,1.328298,0.833308,0.844988,1.713738,19.968772,10.041981,1.445098,3.639730,3.019481,0.590847,0.735840,0.639983,1.440265,1.243719,11.830229,3.971603,1.237677,2.221617,0.300861,3.964756,9.344403,2.363388,12.679244,1.541357,0.776519,0.930775,1.335950,201.56377600000002,172,
256,0,3.027537,2.334792,1.211901,11.472177,3.367062,1.617076,1.722599,9.466036,2.091526,0.700800,2.005335,1.121683,3.191862,1.646880,1.837385,1.571161,5.995062,19.999382,1.799123,0.727785,1.834566,2.033931,2.026279,0.757186,1.141418,3.721892,1.335548,5.902830,6.461457,1.194985,4.955139,1.201429,1.478930,1.549412,0.801490,0.886069,1.060061,19.273611,8.607354,1.420932,2.442328,1.843023,0.594069,0.746312,0.617832,1.555454,1.719779,12.576138,2.806825,0.662135,6.271354,0.363288,3.009412,8.749126,2.487437,9.555046,2.182952,0.969843,1.025423,3.249054,207.978513,214,
256,1,3.714643,3.123796,1.255801,11.037197,3.025926,0.863917,0.973870,10.035134,3.106477,0.602124,2.478577,0.917887,3.327994,1.772943,1.512761,1.612243,5.290234,19.999382,1.433015,0.690328,1.280772,2.945374,2.996524,0.598902,0.764436,3.692894,1.593716,2.607459,5.931426,1.099128,5.161754,1.194582,2.813269,1.597341,0.725771,0.771283,1.699641,19.972800,9.827310,1.561898,2.195840,2.027084,0.553390,0.868348,0.643206,1.922770,1.483763,13.151680,3.595829,0.771283,3.706990,0.194532,4.101291,8.188486,2.679150,7.430897,1.686753,0.837738,0.950510,2.829379,205.42944800000004,157,
256,2,3.772640,3.429490,1.060463,11.850367,4.426317,1.051603,1.266676,10.759697,2.470119,0.648441,2.911542,1.973920,4.239034,1.025826,2.088706,2.228463,18.977986,19.999382,1.245330,0.483713,1.117655,1.259023,2.426218,0.750742,0.945677,3.567233,1.424960,6.027283,5.939079,1.316618,5.316817,0.794643,1.942505,1.151487,0.813975,0.961385,1.546190,17.793070,10.148712,1.607410,2.641291,2.373859,0.523183,0.747117,0.607763,1.272314,1.404419,13.674058,4.628099,0.762825,1.155917,0.318582,3.963145,10.969131,2.383123,11.329197,1.129738,1.037103,0.876403,1.898201,226.45586499999996,153,
