TTT,HandoverMargin,Sum_Throughput(Mbps),Handover_Count
128,0,199.874606,419
128,1,215.888689,446
128,2,205.679565,312
128,3,204.747981,299
128,4,211.616629,267
128,5,210.134075,247
128,6,201.563776,172
256,0,207.978513,214
256,1,205.429448,157
256,2,226.455865,153
256,3,214.027944,131
256,4,222.67477,121
256,5,204.973929,101
256,6,218.827623,82
512,0,216.041334,78
512,1,212.497459,61
512,2,220.945327,49
512,3,219.753156,44
512,4,208.349454,31
512,5,213.791523,25
512,6,204.292062,25
1024,0,221.857168,25
1024,1,225.625781,23
1024,2,214.160456,17
1024,3,211.753164,14
1024,4,213.866035,14
1024,5,218.306453,10
1024,6,216.355488,8
